Time [\fm\ns]	x(t)	feedback	x(t-\ft\n)+\ff\n	MZM-out
2.000000e-02	1.772384e-01	7.046190e-01	-2.400845e-01	5.311302e-01
4.000000e-02	1.741605e-01	7.071089e-01	-2.396915e-01	5.323624e-01
6.000000e-02	1.753987e-01	7.059525e-01	-2.397094e-01	5.323063e-01
8.000000e-02	1.748675e-01	7.041166e-01	-2.400241e-01	5.313195e-01
1.000000e-01	1.734284e-01	7.072343e-01	-2.394156e-01	5.332275e-01
1.200000e-01	1.676742e-01	7.056504e-01	-2.398255e-01	5.319422e-01
1.400000e-01	1.726569e-01	7.045455e-01	-2.400758e-01	5.311577e-01
1.600000e-01	1.705740e-01	7.043212e-01	-2.399518e-01	5.315463e-01
1.800000e-01	1.760766e-01	7.060579e-01	-2.395371e-01	5.328465e-01
2.000000e-01	1.733001e-01	7.064387e-01	-2.396502e-01	5.324920e-01
2.200000e-01	4.764209e-01	1.007667e+00	-2.399489e-01	5.315553e-01
2.400000e-01	4.740387e-01	1.008201e+00	-2.398787e-01	5.317757e-01
2.600000e-01	4.689008e-01	1.005801e+00	-2.399600e-01	5.315206e-01
2.800000e-01	4.731992e-01	1.010061e+00	-2.394600e-01	5.330882e-01
3.000000e-01	4.812282e-01	1.011806e+00	-2.391984e-01	5.339082e-01
3.200000e-01	4.736803e-01	1.005178e+00	-2.402094e-01	5.307386e-01
3.400000e-01	4.724840e-01	1.006109e+00	-2.402080e-01	5.307430e-01
3.600000e-01	4.742381e-01	1.004135e+00	-2.404771e-01	5.298993e-01
3.800000e-01	4.655540e-01	1.006338e+00	-2.399902e-01	5.314260e-01
4.000000e-01	4.687174e-01	1.008983e+00	-2.396842e-01	5.323853e-01
4.200000e-01	1.666747e-01	7.057112e-01	-2.398299e-01	5.319287e-01
4.400000e-01	1.671248e-01	7.057746e-01	-2.398441e-01	5.318840e-01
4.600000e-01	1.730230e-01	7.057272e-01	-2.396740e-01	5.324175e-01
4.800000e-01	1.642738e-01	7.085633e-01	-2.390913e-01	5.342439e-01
5.000000e-01	1.636633e-01	7.041144e-01	-2.402711e-01	5.305453e-01
5.200000e-01	1.714918e-01	7.048821e-01	-2.400651e-01	5.311912e-01
5.400000e-01	1.687641e-01	7.036826e-01	-2.400383e-01	5.312753e-01
5.600000e-01	1.707519e-01	7.040897e-01	-2.399900e-01	5.314265e-01
5.800000e-01	1.618773e-01	7.023354e-01	-2.407138e-01	5.291569e-01
6.000000e-01	1.647483e-01	7.015957e-01	-2.405921e-01	5.295387e-01
6.200000e-01	4.686562e-01	1.004816e+00	-2.403399e-01	5.303295e-01
6.400000e-01	4.681565e-01	1.003221e+00	-2.404699e-01	5.299217e-01
6.600000e-01	4.714327e-01	1.005563e+00	-2.401737e-01	5.308507e-01
6.800000e-01	4.716264e-01	1.009271e+00	-2.395920e-01	5.326744e-01
7.000000e-01	4.705454e-01	1.009251e+00	-2.394946e-01	5.329799e-01
7.200000e-01	4.653075e-01	1.006364e+00	-2.401328e-01	5.309790e-01
7.400000e-01	4.673585e-01	1.007765e+00	-2.398049e-01	5.320069e-01
7.600000e-01	4.669741e-01	1.008072e+00	-2.399130e-01	5.316682e-01
7.800000e-01	4.618250e-01	1.003706e+00	-2.404403e-01	5.300146e-01
8.000000e-01	4.677252e-01	1.003542e+00	-2.404801e-01	5.298900e-01
8.200000e-01	-1.865190e-01	3.585147e-01	-2.397988e-01	5.320259e-01
8.400000e-01	-1.799792e-01	3.577508e-01	-2.401118e-01	5.310446e-01
8.600000e-01	-1.826584e-01	3.582519e-01	-2.398202e-01	5.319590e-01
8.800000e-01	-1.789322e-01	3.570636e-01	-2.403224e-01	5.303843e-01
9.000000e-01	-1.785375e-01	3.579824e-01	-2.399520e-01	5.315458e-01
9.200000e-01	-1.773537e-01	3.586790e-01	-2.396655e-01	5.324439e-01
9.400000e-01	-1.822756e-01	3.581938e-01	-2.398648e-01	5.318191e-01
9.600000e-01	-1.812597e-01	3.568556e-01	-2.405440e-01	5.296894e-01
9.800000e-01	-1.761350e-01	3.585370e-01	-2.397872e-01	5.320624e-01
1.000000e+00	-1.788428e-01	3.581175e-01	-2.398799e-01	5.317718e-01
1.020000e+00	-1.789262e-01	3.589580e-01	-2.395443e-01	5.328238e-01
1.040000e+00	-1.812122e-01	3.587395e-01	-2.396810e-01	5.323953e-01
1.060000e+00	-1.802211e-01	3.581166e-01	-2.400503e-01	5.312375e-01
1.080000e+00	-1.791143e-01	3.577398e-01	-2.400855e-01	5.311272e-01
1.100000e+00	-1.808087e-01	3.569754e-01	-2.402800e-01	5.305172e-01
1.120000e+00	-1.807193e-01	3.571590e-01	-2.403591e-01	5.302692e-01
1.140000e+00	-1.779413e-01	3.580583e-01	-2.399888e-01	5.314304e-01
1.160000e+00	-1.787421e-01	3.575244e-01	-2.401668e-01	5.308724e-01
1.180000e+00	-1.790987e-01	3.585982e-01	-2.398173e-01	5.319681e-01
1.200000e+00	-1.781092e-01	3.579358e-01	-2.398400e-01	5.318970e-01
1.220000e+00	1.715883e-01	7.048999e-01	-2.399788e-01	5.314619e-01
1.240000e+00	1.670438e-01	7.039958e-01	-2.402574e-01	5.305883e-01
1.260000e+00	1.693801e-01	7.059674e-01	-2.398801e-01	5.317711e-01
1.280000e+00	1.679214e-01	7.026593e-01	-2.404335e-01	5.300358e-01
1.300000e+00	1.655904e-01	7.048528e-01	-2.399824e-01	5.314504e-01
1.320000e+00	1.654952e-01	7.031178e-01	-2.404587e-01	5.299569e-01
1.340000e+00	1.695476e-01	7.041102e-01	-2.403034e-01	5.304440e-01
1.360000e+00	1.665270e-01	7.023720e-01	-2.406118e-01	5.294767e-01
1.380000e+00	1.642924e-01	7.062466e-01	-2.398344e-01	5.319144e-01
1.400000e+00	1.683897e-01	7.047039e-01	-2.401366e-01	5.309669e-01
1.420000e+00	-4.866574e-01	5.583484e-02	-2.402350e-01	5.306584e-01
1.440000e+00	-4.819711e-01	5.598470e-02	-2.397733e-01	5.321060e-01
1.460000e+00	-4.786170e-01	5.604413e-02	-2.395557e-01	5.327881e-01
1.480000e+00	-4.857133e-01	5.579059e-02	-2.402990e-01	5.304578e-01
1.500000e+00	-4.818236e-01	5.581135e-02	-2.404031e-01	5.301313e-01
1.520000e+00	-4.811195e-01	5.589924e-02	-2.400132e-01	5.313539e-01
1.540000e+00	-4.868742e-01	5.583180e-02	-2.402925e-01	5.304780e-01
1.560000e+00	-4.811138e-01	5.592074e-02	-2.399895e-01	5.314282e-01
1.580000e+00	-4.810261e-01	5.592822e-02	-2.397183e-01	5.322784e-01
1.600000e+00	-4.800145e-01	5.583441e-02	-2.399934e-01	5.314160e-01
1.620000e+00	1.704802e-01	7.038455e-01	-2.403246e-01	5.303774e-01
1.640000e+00	1.699994e-01	7.060114e-01	-2.398294e-01	5.319303e-01
1.660000e+00	1.669126e-01	7.024099e-01	-2.406128e-01	5.294738e-01
1.680000e+00	1.677431e-01	7.043740e-01	-2.401848e-01	5.308159e-01
1.700000e+00	1.694373e-01	7.045552e-01	-2.400104e-01	5.313627e-01
1.720000e+00	1.662232e-01	7.034491e-01	-2.403546e-01	5.302833e-01
1.740000e+00	1.665827e-01	7.037969e-01	-2.402502e-01	5.306106e-01
1.760000e+00	1.731098e-01	7.064663e-01	-2.397950e-01	5.320379e-01
1.780000e+00	1.685747e-01	7.075798e-01	-2.393640e-01	5.333890e-01
1.800000e+00	1.701653e-01	7.053159e-01	-2.398538e-01	5.318536e-01
1.820000e+00	4.735724e-01	1.007616e+00	-2.399398e-01	5.315840e-01
1.840000e+00	4.695975e-01	1.007574e+00	-2.397491e-01	5.321820e-01
1.860000e+00	4.681988e-01	1.005197e+00	-2.402404e-01	5.306414e-01
1.880000e+00	4.744123e-01	1.010940e+00	-2.394508e-01	5.331169e-01
1.900000e+00	4.658647e-01	1.007893e+00	-2.397712e-01	5.321125e-01
1.920000e+00	4.700476e-01	1.006896e+00	-2.400285e-01	5.313060e-01
1.940000e+00	4.696840e-01	1.010055e+00	-2.394414e-01	5.331466e-01
