Time shift [ms]	Auto-correlation
0.000000e+00	1.000000e+00
1.000000e-02	9.999542e-01
2.000000e-02	9.998171e-01
3.000000e-02	9.995890e-01
4.000000e-02	9.992706e-01
5.000000e-02	9.988630e-01
6.000000e-02	9.983674e-01
7.000000e-02	9.977854e-01
8.000000e-02	9.971185e-01
9.000000e-02	9.963689e-01
1.000000e-01	9.955387e-01
1.100000e-01	9.946300e-01
1.200000e-01	9.936454e-01
1.300000e-01	9.925874e-01
1.400000e-01	9.914586e-01
1.500000e-01	9.902617e-01
1.600000e-01	9.889996e-01
1.700000e-01	9.876748e-01
1.800000e-01	9.862904e-01
1.900000e-01	9.848489e-01
2.000000e-01	9.833531e-01
2.100000e-01	9.818057e-01
2.200000e-01	9.802094e-01
2.300000e-01	9.785667e-01
2.400000e-01	9.768800e-01
2.500000e-01	9.751519e-01
2.600000e-01	9.733845e-01
2.700000e-01	9.715802e-01
2.800000e-01	9.697410e-01
2.900000e-01	9.678690e-01
3.000000e-01	9.659661e-01
3.100000e-01	9.640341e-01
3.200000e-01	9.620748e-01
3.300000e-01	9.600897e-01
3.400000e-01	9.580806e-01
3.500000e-01	9.560487e-01
3.600000e-01	9.539955e-01
3.700000e-01	9.519223e-01
3.800000e-01	9.498303e-01
3.900000e-01	9.477205e-01
4.000000e-01	9.455942e-01
4.100000e-01	9.434522e-01
4.200000e-01	9.412956e-01
4.300000e-01	9.391251e-01
4.400000e-01	9.369417e-01
4.500000e-01	9.347460e-01
4.600000e-01	9.325388e-01
4.700000e-01	9.303208e-01
4.800000e-01	9.280925e-01
4.900000e-01	9.258546e-01
5.000000e-01	9.236077e-01
5.100000e-01	9.213521e-01
5.200000e-01	9.190885e-01
5.300000e-01	9.168171e-01
5.400000e-01	9.145386e-01
5.500000e-01	9.122532e-01
5.600000e-01	9.099612e-01
5.700000e-01	9.076632e-01
5.800000e-01	9.053592e-01
5.900000e-01	9.030498e-01
6.000000e-01	9.007350e-01
6.100000e-01	8.984153e-01
6.200000e-01	8.960907e-01
6.300000e-01	8.937616e-01
6.400000e-01	8.914281e-01
6.500000e-01	8.890905e-01
6.600000e-01	8.867489e-01
6.700000e-01	8.844036e-01
6.800000e-01	8.820545e-01
6.900000e-01	8.797020e-01
7.000000e-01	8.773461e-01
7.100000e-01	8.749870e-01
7.200000e-01	8.726247e-01
7.300000e-01	8.702595e-01
7.400000e-01	8.678913e-01
7.500000e-01	8.655204e-01
7.600000e-01	8.631468e-01
7.700000e-01	8.607705e-01
7.800000e-01	8.583917e-01
7.900000e-01	8.560104e-01
8.000000e-01	8.536267e-01
8.100000e-01	8.512407e-01
8.200000e-01	8.488524e-01
8.300000e-01	8.464619e-01
8.400000e-01	8.440692e-01
8.500000e-01	8.416745e-01
8.600000e-01	8.392776e-01
8.700000e-01	8.368787e-01
8.800000e-01	8.344778e-01
8.900000e-01	8.320749e-01
9.000000e-01	8.296702e-01
9.100000e-01	8.272635e-01
9.200000e-01	8.248550e-01
9.300000e-01	8.224447e-01
9.400000e-01	8.200326e-01
9.500000e-01	8.176187e-01
9.600000e-01	8.152031e-01
9.700000e-01	8.127858e-01
9.800000e-01	8.103667e-01
9.900000e-01	8.079461e-01
1.000000e+00	8.055237e-01
1.010000e+00	8.030997e-01
1.020000e+00	8.006742e-01
1.030000e+00	7.982470e-01
1.040000e+00	7.958183e-01
1.050000e+00	7.933880e-01
1.060000e+00	7.909562e-01
1.070000e+00	7.885229e-01
1.080000e+00	7.860881e-01
1.090000e+00	7.836518e-01
1.100000e+00	7.812140e-01
1.110000e+00	7.787748e-01
1.120000e+00	7.763342e-01
1.130000e+00	7.738921e-01
1.140000e+00	7.714486e-01
1.150000e+00	7.690037e-01
1.160000e+00	7.665575e-01
1.170000e+00	7.641099e-01
1.180000e+00	7.616609e-01
1.190000e+00	7.592106e-01
1.200000e+00	7.567590e-01
1.210000e+00	7.543061e-01
1.220000e+00	7.518519e-01
1.230000e+00	7.493964e-01
1.240000e+00	7.469396e-01
1.250000e+00	7.444816e-01
1.260000e+00	7.420224e-01
1.270000e+00	7.395619e-01
1.280000e+00	7.371002e-01
1.290000e+00	7.346373e-01
1.300000e+00	7.321732e-01
1.310000e+00	7.297079e-01
1.320000e+00	7.272414e-01
1.330000e+00	7.247738e-01
1.340000e+00	7.223050e-01
1.350000e+00	7.198351e-01
1.360000e+00	7.173640e-01
1.370000e+00	7.148918e-01
1.380000e+00	7.124185e-01
1.390000e+00	7.099442e-01
1.400000e+00	7.074687e-01
1.410000e+00	7.049921e-01
1.420000e+00	7.025144e-01
1.430000e+00	7.000357e-01
1.440000e+00	6.975559e-01
1.450000e+00	6.950751e-01
1.460000e+00	6.925932e-01
1.470000e+00	6.901103e-01
1.480000e+00	6.876263e-01
1.490000e+00	6.851414e-01
1.500000e+00	6.826554e-01
1.510000e+00	6.801685e-01
1.520000e+00	6.776805e-01
1.530000e+00	6.751915e-01
1.540000e+00	6.727016e-01
1.550000e+00	6.702107e-01
1.560000e+00	6.677188e-01
1.570000e+00	6.652260e-01
1.580000e+00	6.627322e-01
1.590000e+00	6.602375e-01
1.600000e+00	6.577418e-01
1.610000e+00	6.552452e-01
1.620000e+00	6.527477e-01
1.630000e+00	6.502492e-01
1.640000e+00	6.477498e-01
1.650000e+00	6.452495e-01
1.660000e+00	6.427483e-01
1.670000e+00	6.402462e-01
1.680000e+00	6.377432e-01
1.690000e+00	6.352393e-01
1.700000e+00	6.327346e-01
1.710000e+00	6.302289e-01
1.720000e+00	6.277224e-01
1.730000e+00	6.252150e-01
1.740000e+00	6.227067e-01
1.750000e+00	6.201976e-01
1.760000e+00	6.176876e-01
1.770000e+00	6.151767e-01
1.780000e+00	6.126650e-01
1.790000e+00	6.101525e-01
1.800000e+00	6.076391e-01
1.810000e+00	6.051249e-01
1.820000e+00	6.026099e-01
1.830000e+00	6.000941e-01
1.840000e+00	5.975774e-01
1.850000e+00	5.950600e-01
1.860000e+00	5.925418e-01
1.870000e+00	5.900228e-01
