\f\n\dind\n [ns\u-1\n]	Lyapunov exponent
0.000000e+00	0.000000e+00
3.000000e-02	3.575649e-04
6.000000e-02	-1.423390e-03
9.000000e-02	-1.447225e-02
1.200000e-01	-2.338629e-02
1.500000e-01	-3.759098e-02
1.800000e-01	-7.098586e-02
2.100000e-01	-1.101898e-01
2.400000e-01	-1.556788e-01
2.700000e-01	-1.927406e-01
3.000000e-01	-2.260116e-01
3.300000e-01	-2.227127e-01
3.600000e-01	-2.060871e-01
3.900000e-01	-2.289803e-01
4.200000e-01	-1.985398e-01
4.500000e-01	-2.090484e-01
4.800000e-01	-1.994087e-01
5.100000e-01	-1.790860e-01
5.400000e-01	-1.793111e-01
5.700000e-01	-1.501574e-01
6.000000e-01	-1.886084e-01
6.300000e-01	-1.977775e-01
6.600000e-01	-1.665577e-01
6.900000e-01	-1.515154e-01
7.200000e-01	-1.469087e-01
7.500000e-01	-1.261469e-01
7.800000e-01	-1.215680e-01
8.100000e-01	-1.149783e-01
8.400000e-01	-1.267161e-01
8.700000e-01	-9.228782e-02
9.000000e-01	-9.998216e-02
9.300000e-01	-9.206950e-02
9.600000e-01	-6.895798e-02
9.900000e-01	-8.252397e-02
1.020000e+00	-4.634830e-02
1.050000e+00	-4.884221e-02
1.080000e+00	-2.993385e-02
1.110000e+00	8.228378e-03
1.140000e+00	-1.722917e-02
1.170000e+00	-3.776670e-03
1.200000e+00	-2.704639e-02
1.230000e+00	5.889879e-02
1.260000e+00	-4.869673e-03
1.290000e+00	2.064645e-02
1.320000e+00	2.899882e-02
1.350000e+00	2.261540e-02
1.380000e+00	1.067702e-01
1.410000e+00	9.329731e-02
1.440000e+00	9.534506e-02
1.470000e+00	1.393541e-01
1.500000e+00	1.191925e-01
1.530000e+00	1.192795e-01
1.560000e+00	1.628527e-01
1.590000e+00	1.297196e-01
1.620000e+00	1.403925e-01
1.650000e+00	1.717938e-01
1.680000e+00	1.632805e-01
1.710000e+00	1.332029e-01
1.740000e+00	2.046786e-01
1.770000e+00	1.659948e-01
1.800000e+00	2.433593e-01
1.830000e+00	2.708472e-01
1.860000e+00	2.695995e-01
1.890000e+00	2.314991e-01
1.920000e+00	3.124777e-01
1.950000e+00	3.209221e-01
1.980000e+00	2.331568e-01
2.010000e+00	3.187066e-01
2.040000e+00	3.907440e-01
2.070000e+00	5.025981e-01
2.100000e+00	3.962366e-01
2.130000e+00	4.012963e-01
2.160000e+00	3.888970e-01
2.190000e+00	5.249082e-01
2.220000e+00	5.340522e-01
2.250000e+00	5.713375e-01
2.280000e+00	5.278911e-01
2.310000e+00	6.319012e-01
2.340000e+00	6.680571e-01
2.370000e+00	7.226291e-01
2.400000e+00	8.321159e-01
2.430000e+00	7.339779e-01
2.460000e+00	8.877338e-01
2.490000e+00	9.234286e-01
2.520000e+00	9.930264e-01
2.550000e+00	9.541693e-01
2.580000e+00	1.082200e+00
2.610000e+00	1.179926e+00
2.640000e+00	1.230805e+00
2.670000e+00	1.182782e+00
2.700000e+00	1.274670e+00
2.730000e+00	1.300125e+00
2.760000e+00	1.362867e+00
2.790000e+00	1.332605e+00
2.820000e+00	1.379199e+00
2.850000e+00	1.494231e+00
2.880000e+00	1.483818e+00
2.910000e+00	1.514912e+00
2.940000e+00	1.569608e+00
2.970000e+00	1.681792e+00
