Sampling frequency [arb.units]	One ratio [arb.units]	(One ratio - 0.5)\u2\n
5.000000e-03	4.725000e-01	7.562500e-04
6.000000e-03	4.725000e-01	7.562500e-04
7.000000e-03	4.725000e-01	7.562500e-04
8.000000e-03	4.725000e-01	7.562500e-04
9.000000e-03	4.725000e-01	7.562500e-04
1.000000e-02	4.725000e-01	7.562500e-04
1.100000e-02	4.725000e-01	7.562500e-04
1.200000e-02	4.725000e-01	7.562500e-04
1.300000e-02	4.725000e-01	7.562500e-04
1.400000e-02	4.725000e-01	7.562500e-04
1.500000e-02	4.644195e-01	1.265974e-03
1.600000e-02	4.644195e-01	1.265974e-03
1.700000e-02	4.644195e-01	1.265974e-03
1.800000e-02	4.644195e-01	1.265974e-03
1.900000e-02	4.644195e-01	1.265974e-03
2.000000e-02	4.600000e-01	1.600000e-03
2.100000e-02	4.600000e-01	1.600000e-03
2.200000e-02	4.600000e-01	1.600000e-03
2.300000e-02	4.600000e-01	1.600000e-03
2.400000e-02	4.600000e-01	1.600000e-03
2.500000e-02	4.725000e-01	7.562500e-04
2.600000e-02	4.725000e-01	7.562500e-04
2.700000e-02	4.725000e-01	7.562500e-04
2.800000e-02	4.725000e-01	7.562500e-04
2.900000e-02	4.725000e-01	7.562500e-04
3.000000e-02	4.644195e-01	1.265974e-03
3.100000e-02	4.644195e-01	1.265974e-03
3.200000e-02	4.644195e-01	1.265974e-03
3.300000e-02	4.644195e-01	1.265974e-03
3.400000e-02	4.644195e-01	1.265974e-03
3.500000e-02	5.130435e-01	1.701323e-04
3.600000e-02	5.130435e-01	1.701323e-04
3.700000e-02	5.130435e-01	1.701323e-04
3.800000e-02	5.130435e-01	1.701323e-04
3.900000e-02	5.130435e-01	1.701323e-04
4.000000e-02	4.400000e-01	3.600000e-03
4.100000e-02	4.400000e-01	3.600000e-03
4.200000e-02	4.400000e-01	3.600000e-03
4.300000e-02	4.400000e-01	3.600000e-03
4.400000e-02	4.400000e-01	3.600000e-03
4.500000e-02	4.719101e-01	7.890418e-04
4.600000e-02	4.719101e-01	7.890418e-04
4.700000e-02	4.719101e-01	7.890418e-04
4.800000e-02	4.719101e-01	7.890418e-04
4.900000e-02	4.719101e-01	7.890418e-04
5.000000e-02	4.725000e-01	7.562500e-04
5.100000e-02	4.725000e-01	7.562500e-04
5.200000e-02	4.725000e-01	7.562500e-04
5.300000e-02	4.725000e-01	7.562500e-04
5.400000e-02	4.725000e-01	7.562500e-04
5.500000e-02	4.931507e-01	4.691312e-05
5.600000e-02	4.931507e-01	4.691312e-05
5.700000e-02	4.931507e-01	4.691312e-05
5.800000e-02	4.931507e-01	4.691312e-05
5.900000e-02	4.931507e-01	4.691312e-05
6.000000e-02	4.477612e-01	2.728893e-03
6.100000e-02	4.477612e-01	2.728893e-03
6.200000e-02	4.477612e-01	2.728893e-03
6.300000e-02	4.477612e-01	2.728893e-03
6.400000e-02	4.477612e-01	2.728893e-03
6.500000e-02	4.677419e-01	1.040583e-03
6.600000e-02	4.677419e-01	1.040583e-03
6.700000e-02	4.677419e-01	1.040583e-03
6.800000e-02	4.677419e-01	1.040583e-03
6.900000e-02	4.677419e-01	1.040583e-03
7.000000e-02	4.677419e-01	1.040583e-03
7.100000e-02	5.130435e-01	1.701323e-04
7.200000e-02	5.130435e-01	1.701323e-04
7.300000e-02	5.130435e-01	1.701323e-04
7.400000e-02	5.130435e-01	1.701323e-04
7.500000e-02	4.644195e-01	1.265974e-03
7.600000e-02	4.644195e-01	1.265974e-03
7.700000e-02	4.644195e-01	1.265974e-03
7.800000e-02	4.644195e-01	1.265974e-03
7.900000e-02	4.644195e-01	1.265974e-03
8.000000e-02	4.500000e-01	2.500000e-03
8.100000e-02	4.500000e-01	2.500000e-03
8.200000e-02	4.500000e-01	2.500000e-03
8.300000e-02	4.500000e-01	2.500000e-03
8.400000e-02	4.500000e-01	2.500000e-03
8.500000e-02	5.833333e-01	6.944444e-03
8.600000e-02	5.833333e-01	6.944444e-03
8.700000e-02	5.833333e-01	6.944444e-03
8.800000e-02	5.833333e-01	6.944444e-03
8.900000e-02	5.833333e-01	6.944444e-03
9.000000e-02	4.719101e-01	7.890418e-04
9.100000e-02	4.719101e-01	7.890418e-04
9.200000e-02	4.719101e-01	7.890418e-04
9.300000e-02	4.719101e-01	7.890418e-04
9.400000e-02	4.719101e-01	7.890418e-04
9.500000e-02	4.651163e-01	1.216874e-03
9.600000e-02	4.651163e-01	1.216874e-03
9.700000e-02	4.651163e-01	1.216874e-03
9.800000e-02	4.651163e-01	1.216874e-03
9.900000e-02	4.651163e-01	1.216874e-03
1.000000e-01	4.600000e-01	1.600000e-03
1.010000e-01	4.600000e-01	1.600000e-03
1.020000e-01	4.600000e-01	1.600000e-03
1.030000e-01	4.600000e-01	1.600000e-03
1.040000e-01	4.600000e-01	1.600000e-03
1.050000e-01	5.641026e-01	4.109139e-03
1.060000e-01	5.641026e-01	4.109139e-03
1.070000e-01	5.641026e-01	4.109139e-03
1.080000e-01	5.641026e-01	4.109139e-03
1.090000e-01	5.641026e-01	4.109139e-03
1.100000e-01	4.931507e-01	4.691312e-05
1.110000e-01	4.931507e-01	4.691312e-05
1.120000e-01	4.931507e-01	4.691312e-05
1.130000e-01	4.931507e-01	4.691312e-05
1.140000e-01	4.931507e-01	4.691312e-05
1.150000e-01	4.857143e-01	2.040816e-04
1.160000e-01	4.857143e-01	2.040816e-04
1.170000e-01	4.857143e-01	2.040816e-04
1.180000e-01	4.857143e-01	2.040816e-04
1.190000e-01	4.857143e-01	2.040816e-04
1.200000e-01	3.582090e-01	2.010470e-02
1.210000e-01	3.582090e-01	2.010470e-02
1.220000e-01	3.582090e-01	2.010470e-02
