Threshold intensity [arb.units]	One ratio [arb.units]
0.000000e+00	1.000000e+00
1.000000e-02	1.000000e+00
2.000000e-02	1.000000e+00
3.000000e-02	1.000000e+00
4.000000e-02	1.000000e+00
5.000000e-02	1.000000e+00
6.000000e-02	1.000000e+00
7.000000e-02	1.000000e+00
8.000000e-02	1.000000e+00
9.000000e-02	1.000000e+00
1.000000e-01	1.000000e+00
1.100000e-01	1.000000e+00
1.200000e-01	1.000000e+00
1.300000e-01	1.000000e+00
1.400000e-01	1.000000e+00
1.500000e-01	1.000000e+00
1.600000e-01	1.000000e+00
1.700000e-01	1.000000e+00
1.800000e-01	1.000000e+00
1.900000e-01	1.000000e+00
2.000000e-01	1.000000e+00
2.100000e-01	1.000000e+00
2.200000e-01	1.000000e+00
2.300000e-01	1.000000e+00
2.400000e-01	1.000000e+00
2.500000e-01	1.000000e+00
2.600000e-01	1.000000e+00
2.700000e-01	1.000000e+00
2.800000e-01	1.000000e+00
2.900000e-01	9.987500e-01
3.000000e-01	9.977500e-01
3.100000e-01	9.970000e-01
3.200000e-01	9.962500e-01
3.300000e-01	9.960000e-01
3.400000e-01	9.955000e-01
3.500000e-01	9.950000e-01
3.600000e-01	9.945000e-01
3.700000e-01	9.942500e-01
3.800000e-01	9.927500e-01
3.900000e-01	9.917500e-01
4.000000e-01	9.907500e-01
4.100000e-01	9.902500e-01
4.200000e-01	9.882500e-01
4.300000e-01	9.872500e-01
4.400000e-01	9.860000e-01
4.500000e-01	9.850000e-01
4.600000e-01	9.837500e-01
4.700000e-01	9.832500e-01
4.800000e-01	9.820000e-01
4.900000e-01	9.820000e-01
5.000000e-01	9.810000e-01
5.100000e-01	9.805000e-01
5.200000e-01	9.797500e-01
5.300000e-01	9.787500e-01
5.400000e-01	9.787500e-01
5.500000e-01	9.777500e-01
5.600000e-01	9.775000e-01
5.700000e-01	9.767500e-01
5.800000e-01	9.765000e-01
5.900000e-01	9.747500e-01
6.000000e-01	9.732500e-01
6.100000e-01	9.717500e-01
6.200000e-01	9.702500e-01
6.300000e-01	9.660000e-01
6.400000e-01	9.632500e-01
6.500000e-01	9.612500e-01
6.600000e-01	9.592500e-01
6.700000e-01	9.580000e-01
6.800000e-01	9.567500e-01
6.900000e-01	9.550000e-01
7.000000e-01	9.522500e-01
7.100000e-01	9.507500e-01
7.200000e-01	9.487500e-01
7.300000e-01	9.477500e-01
7.400000e-01	9.462500e-01
7.500000e-01	9.445000e-01
7.600000e-01	9.437500e-01
7.700000e-01	9.422500e-01
7.800000e-01	9.415000e-01
7.900000e-01	9.400000e-01
8.000000e-01	9.385000e-01
8.100000e-01	9.365000e-01
8.200000e-01	9.347500e-01
8.300000e-01	9.337500e-01
8.400000e-01	9.307500e-01
8.500000e-01	9.287500e-01
8.600000e-01	9.265000e-01
8.700000e-01	9.240000e-01
8.800000e-01	9.212500e-01
8.900000e-01	9.190000e-01
9.000000e-01	9.177500e-01
9.100000e-01	9.157500e-01
9.200000e-01	9.140000e-01
9.300000e-01	9.117500e-01
9.400000e-01	9.087500e-01
9.500000e-01	9.075000e-01
9.600000e-01	9.057500e-01
9.700000e-01	9.040000e-01
9.800000e-01	9.027500e-01
9.900000e-01	9.012500e-01
1.000000e+00	8.997500e-01
1.010000e+00	8.977500e-01
1.020000e+00	8.967500e-01
1.030000e+00	8.955000e-01
1.040000e+00	8.942500e-01
1.050000e+00	8.922500e-01
1.060000e+00	8.912500e-01
1.070000e+00	8.900000e-01
1.080000e+00	8.890000e-01
1.090000e+00	8.882500e-01
1.100000e+00	8.837500e-01
1.110000e+00	8.820000e-01
1.120000e+00	8.797500e-01
1.130000e+00	8.755000e-01
1.140000e+00	8.725000e-01
1.150000e+00	8.700000e-01
1.160000e+00	8.665000e-01
1.170000e+00	8.627500e-01
1.180000e+00	8.607500e-01
1.190000e+00	8.572500e-01
1.200000e+00	8.550000e-01
1.210000e+00	8.500000e-01
1.220000e+00	8.472500e-01
1.230000e+00	8.445000e-01
1.240000e+00	8.405000e-01
1.250000e+00	8.347500e-01
1.260000e+00	8.300000e-01
1.270000e+00	8.262500e-01
1.280000e+00	8.217500e-01
1.290000e+00	8.167500e-01
1.300000e+00	8.125000e-01
1.310000e+00	8.087500e-01
1.320000e+00	8.042500e-01
1.330000e+00	7.990000e-01
1.340000e+00	7.942500e-01
1.350000e+00	7.902500e-01
1.360000e+00	7.855000e-01
1.370000e+00	7.795000e-01
1.380000e+00	7.752500e-01
1.390000e+00	7.710000e-01
1.400000e+00	7.667500e-01
1.410000e+00	7.592500e-01
1.420000e+00	7.515000e-01
1.430000e+00	7.427500e-01
1.440000e+00	7.377500e-01
1.450000e+00	7.320000e-01
1.460000e+00	7.270000e-01
1.470000e+00	7.220000e-01
1.480000e+00	7.177500e-01
1.490000e+00	7.137500e-01
1.500000e+00	7.092500e-01
1.510000e+00	7.040000e-01
1.520000e+00	6.995000e-01
1.530000e+00	6.970000e-01
1.540000e+00	6.925000e-01
1.550000e+00	6.870000e-01
1.560000e+00	6.825000e-01
1.570000e+00	6.775000e-01
1.580000e+00	6.740000e-01
1.590000e+00	6.695000e-01
1.600000e+00	6.635000e-01
1.610000e+00	6.597500e-01
1.620000e+00	6.547500e-01
1.630000e+00	6.492500e-01
1.640000e+00	6.450000e-01
1.650000e+00	6.412500e-01
1.660000e+00	6.365000e-01
1.670000e+00	6.335000e-01
1.680000e+00	6.297500e-01
1.690000e+00	6.257500e-01
1.700000e+00	6.195000e-01
1.710000e+00	6.147500e-01
1.720000e+00	6.087500e-01
1.730000e+00	6.042500e-01
1.740000e+00	6.002500e-01
1.750000e+00	5.947500e-01
1.760000e+00	5.905000e-01
1.770000e+00	5.855000e-01
1.780000e+00	5.782500e-01
1.790000e+00	5.747500e-01
1.800000e+00	5.682500e-01
1.810000e+00	5.647500e-01
1.820000e+00	5.610000e-01
1.830000e+00	5.557500e-01
1.840000e+00	5.507500e-01
1.850000e+00	5.467500e-01
1.860000e+00	5.417500e-01
1.870000e+00	5.370000e-01
1.880000e+00	5.332500e-01
1.890000e+00	5.247500e-01
1.900000e+00	5.185000e-01
1.910000e+00	5.107500e-01
1.920000e+00	5.070000e-01
1.930000e+00	5.027500e-01
1.940000e+00	4.975000e-01
1.950000e+00	4.940000e-01
1.960000e+00	4.887500e-01
1.970000e+00	4.810000e-01
1.980000e+00	4.767500e-01
1.990000e+00	4.727500e-01
2.000000e+00	4.665000e-01
2.010000e+00	4.615000e-01
2.020000e+00	4.562500e-01
2.030000e+00	4.510000e-01
2.040000e+00	4.472500e-01
2.050000e+00	4.407500e-01
2.060000e+00	4.347500e-01
2.070000e+00	4.300000e-01
2.080000e+00	4.220000e-01
2.090000e+00	4.145000e-01
2.100000e+00	4.047500e-01
2.110000e+00	3.980000e-01
2.120000e+00	3.947500e-01
2.130000e+00	3.917500e-01
2.140000e+00	3.897500e-01
2.150000e+00	3.857500e-01
2.160000e+00	3.795000e-01
2.170000e+00	3.765000e-01
2.180000e+00	3.737500e-01
2.190000e+00	3.692500e-01
2.200000e+00	3.672500e-01
2.210000e+00	3.645000e-01
2.220000e+00	3.612500e-01
2.230000e+00	3.580000e-01
2.240000e+00	3.557500e-01
2.250000e+00	3.527500e-01
2.260000e+00	3.490000e-01
2.270000e+00	3.460000e-01
2.280000e+00	3.437500e-01
2.290000e+00	3.407500e-01
2.300000e+00	3.372500e-01
2.310000e+00	3.347500e-01
2.320000e+00	3.322500e-01
2.330000e+00	3.285000e-01
2.340000e+00	3.255000e-01
2.350000e+00	3.230000e-01
2.360000e+00	3.177500e-01
2.370000e+00	3.152500e-01
2.380000e+00	3.120000e-01
2.390000e+00	3.080000e-01
2.400000e+00	3.055000e-01
2.410000e+00	3.025000e-01
2.420000e+00	2.995000e-01
2.430000e+00	2.962500e-01
2.440000e+00	2.930000e-01
2.450000e+00	2.910000e-01
2.460000e+00	2.882500e-01
2.470000e+00	2.845000e-01
2.480000e+00	2.810000e-01
2.490000e+00	2.787500e-01
2.500000e+00	2.747500e-01
2.510000e+00	2.715000e-01
2.520000e+00	2.677500e-01
2.530000e+00	2.635000e-01
2.540000e+00	2.602500e-01
2.550000e+00	2.570000e-01
2.560000e+00	2.527500e-01
2.570000e+00	2.495000e-01
2.580000e+00	2.470000e-01
2.590000e+00	2.452500e-01
2.600000e+00	2.425000e-01
2.610000e+00	2.387500e-01
2.620000e+00	2.357500e-01
2.630000e+00	2.342500e-01
2.640000e+00	2.315000e-01
2.650000e+00	2.290000e-01
2.660000e+00	2.260000e-01
2.670000e+00	2.230000e-01
2.680000e+00	2.202500e-01
2.690000e+00	2.185000e-01
2.700000e+00	2.170000e-01
2.710000e+00	2.160000e-01
2.720000e+00	2.145000e-01
2.730000e+00	2.120000e-01
2.740000e+00	2.090000e-01
2.750000e+00	2.077500e-01
2.760000e+00	2.052500e-01
2.770000e+00	2.012500e-01
2.780000e+00	1.977500e-01
2.790000e+00	1.960000e-01
2.800000e+00	1.930000e-01
2.810000e+00	1.905000e-01
2.820000e+00	1.875000e-01
2.830000e+00	1.857500e-01
2.840000e+00	1.842500e-01
2.850000e+00	1.827500e-01
2.860000e+00	1.815000e-01
2.870000e+00	1.805000e-01
2.880000e+00	1.785000e-01
2.890000e+00	1.755000e-01
2.900000e+00	1.735000e-01
2.910000e+00	1.717500e-01
2.920000e+00	1.715000e-01
2.930000e+00	1.700000e-01
2.940000e+00	1.687500e-01
2.950000e+00	1.677500e-01
2.960000e+00	1.670000e-01
2.970000e+00	1.650000e-01
2.980000e+00	1.632500e-01
2.990000e+00	1.617500e-01
3.000000e+00	1.600000e-01
3.010000e+00	1.577500e-01
3.020000e+00	1.557500e-01
3.030000e+00	1.547500e-01
3.040000e+00	1.545000e-01
3.050000e+00	1.532500e-01
3.060000e+00	1.512500e-01
3.070000e+00	1.500000e-01
3.080000e+00	1.490000e-01
3.090000e+00	1.485000e-01
3.100000e+00	1.467500e-01
3.110000e+00	1.457500e-01
3.120000e+00	1.447500e-01
3.130000e+00	1.440000e-01
3.140000e+00	1.422500e-01
3.150000e+00	1.412500e-01
3.160000e+00	1.400000e-01
3.170000e+00	1.387500e-01
3.180000e+00	1.375000e-01
3.190000e+00	1.370000e-01
3.200000e+00	1.347500e-01
3.210000e+00	1.335000e-01
3.220000e+00	1.320000e-01
3.230000e+00	1.312500e-01
3.240000e+00	1.302500e-01
3.250000e+00	1.292500e-01
3.260000e+00	1.270000e-01
3.270000e+00	1.262500e-01
3.280000e+00	1.245000e-01
3.290000e+00	1.227500e-01
3.300000e+00	1.202500e-01
3.310000e+00	1.197500e-01
3.320000e+00	1.177500e-01
3.330000e+00	1.165000e-01
3.340000e+00	1.152500e-01
3.350000e+00	1.130000e-01
3.360000e+00	1.115000e-01
3.370000e+00	1.102500e-01
3.380000e+00	1.097500e-01
3.390000e+00	1.095000e-01
3.400000e+00	1.085000e-01
3.410000e+00	1.070000e-01
3.420000e+00	1.062500e-01
3.430000e+00	1.040000e-01
3.440000e+00	1.035000e-01
3.450000e+00	1.022500e-01
3.460000e+00	1.015000e-01
3.470000e+00	1.002500e-01
3.480000e+00	9.950000e-02
3.490000e+00	9.825000e-02
3.500000e+00	9.575000e-02
3.510000e+00	9.475000e-02
3.520000e+00	9.250000e-02
3.530000e+00	9.150000e-02
3.540000e+00	9.125000e-02
3.550000e+00	9.000000e-02
3.560000e+00	8.925000e-02
3.570000e+00	8.775000e-02
3.580000e+00	8.575000e-02
3.590000e+00	8.500000e-02
3.600000e+00	8.375000e-02
3.610000e+00	8.225000e-02
3.620000e+00	8.000000e-02
3.630000e+00	7.850000e-02
3.640000e+00	7.750000e-02
